ngram,egg,eg,eggg
1500,3.239450734326965e-07,2.3390674641632359e-07,0.0
1501,2.591560587461572e-07,1.8712539713305886e-07,0.0
1502,2.1596338228846435e-07,1.5593783094421573e-07,0.0
1503,1.8511147053296944e-07,1.336609979521849e-07,0.0
1504,1.8511147053296944e-07,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0
1520,2.616656534623222e-06,0.0,0.0
1521,2.616656534623222e-06,0.0,0.0
1522,5.790413394736658e-06,0.0,0.0
1523,6.406458396668313e-06,0.0,0.0
1524,5.875181614101166e-06,0.0,0.0
1525,5.875181614101166e-06,0.0,0.0
1526,5.875181614101166e-06,3.81389691028744e-06,0.0
1527,3.7898018620450913e-06,3.81389691028744e-06,0.0
1528,4.835034295475842e-06,3.81389691028744e-06,0.0
1529,1.6612774353624055e-06,3.81389691028744e-06,0.0
1530,1.0452324334307508e-06,4.542845415146855e-06,0.0
1531,1.0452324334307508e-06,4.542845415146855e-06,0.0
1532,1.0452324334307508e-06,4.542845415146855e-06,0.0
1533,1.0452324334307508e-06,7.289485048594153e-07,0.0
1534,1.0452324334307508e-06,7.289485048594153e-07,0.0
1535,0.0,7.289485048594153e-07,0.0
1536,0.0,7.289485048594153e-07,0.0
1537,0.0,0.0,0.0
1538,0.0,0.0,0.0
1539,0.0,0.0,0.0
1540,0.0,0.0,0.0
1541,0.0,0.0,0.0
1542,0.0,0.0,0.0
1543,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0
1545,1.391049246584381e-07,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0
1548,4.3634686010461466e-07,0.0,0.0
1549,4.3634686010461466e-07,0.0,0.0
1550,4.3634686010461466e-07,0.0,0.0
1551,2.972419354461765e-07,0.0,0.0
1552,1.018352934676971e-06,0.0,0.0
1553,1.018352934676971e-06,0.0,0.0
1554,1.018352934676971e-06,0.0,0.0
1555,7.211109992307943e-07,0.0,0.0
1556,7.211109992307943e-07,2.0817525572575894e-06,0.0
1557,7.211109992307943e-07,2.0817525572575894e-06,0.0
1558,7.211109992307943e-07,2.0817525572575894e-06,0.0
1559,1.7192232917295769e-06,2.0817525572575894e-06,0.0
1560,1.7192232917295769e-06,2.0817525572575894e-06,0.0
1561,1.7192232917295769e-06,2.0817525572575894e-06,0.0
1562,1.7192232917295769e-06,2.0817525572575894e-06,0.0
1563,1.7192232917295769e-06,0.0,0.0
1564,1.7192232917295769e-06,0.0,0.0
1565,1.7192232917295769e-06,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,1.3647946356546266e-06,0.0
1568,0.0,1.3647946356546266e-06,0.0
1569,0.0,1.3647946356546266e-06,0.0
1570,0.0,1.3647946356546266e-06,0.0
1571,0.0,1.3647946356546266e-06,0.0
1572,0.0,1.3647946356546266e-06,0.0
1573,0.0,2.623203986981285e-06,0.0
1574,0.0,1.2584093513266583e-06,0.0
1575,0.0,2.5156889803059e-06,0.0
1576,0.0,2.5156889803059e-06,0.0
1577,0.0,2.5156889803059e-06,0.0
1578,0.0,2.5156889803059e-06,0.0
1579,2.5870192205599907e-06,2.5156889803059e-06,0.0
1580,2.5870192205599907e-06,1.2572796289792417e-06,0.0
1581,2.5870192205599907e-06,1.2572796289792417e-06,0.0
1582,2.5870192205599907e-06,0.0,0.0
1583,2.8273305230998502e-06,0.0,0.0
1584,2.8273305230998502e-06,0.0,0.0
1585,3.0160486111136767e-06,1.887180880138268e-07,0.0
1586,1.8668170826328736e-06,1.887180880138268e-07,0.0
1587,1.8668170826328736e-06,1.887180880138268e-07,0.0
1588,2.536322897737721e-06,1.887180880138268e-07,0.0
1589,2.536322897737721e-06,1.887180880138268e-07,0.0
1590,2.2960115951978618e-06,1.887180880138268e-07,0.0
1591,2.2960115951978618e-06,1.887180880138268e-07,0.0
1592,2.107293507184035e-06,0.0,0.0
1593,8.927825417361288e-07,2.2327672663128135e-07,0.0
1594,8.927825417361288e-07,2.2327672663128135e-07,0.0
1595,2.2327672663128135e-07,2.2327672663128135e-07,0.0
1596,4.336949522049898e-07,2.2327672663128135e-07,0.0
1597,4.336949522049898e-07,2.2327672663128135e-07,0.0
1598,4.336949522049898e-07,2.2327672663128135e-07,0.0
1599,4.336949522049898e-07,3.4118787490504996e-07,0.0
1600,2.1041822557370843e-07,2.244172329873046e-07,0.0
1601,6.01065949012991e-07,2.244172329873046e-07,0.0
1602,8.098673853445299e-07,6.420201056503824e-07,0.0
1603,5.994491597708215e-07,6.420201056503824e-07,0.0
1604,7.697194795192835e-07,8.122904253988443e-07,0.0
1605,7.697194795192835e-07,8.122904253988443e-07,0.0
1606,3.7326835321696957e-06,8.545394913588617e-07,0.0
1607,3.7326835321696957e-06,7.480334066453256e-07,0.0
1608,3.5417134053464646e-06,7.480334066453256e-07,0.0
1609,3.3329119690149256e-06,3.304305339822479e-07,0.0
1610,3.460360233020765e-06,4.5787879798808717e-07,0.0
1611,3.3925021918029027e-06,2.876084782396252e-07,0.0
1612,3.3925021918029027e-06,5.56609206471746e-07,0.0
1613,7.491591012304915e-07,5.562594732769607e-07,0.0
1614,1.078768848726343e-06,5.562594732769607e-07,0.0
1615,8.790912521102914e-07,5.562594732769607e-07,0.0
1616,8.790912521102914e-07,9.166840056553025e-07,0.0
1617,7.516429881044522e-07,7.892357416494633e-07,0.0
1618,6.492307095738527e-07,7.892357416494633e-07,0.0
1619,6.492307095738527e-07,6.327695132313238e-07,0.0
1620,6.318264890329114e-07,6.744368598836965e-07,0.0
1621,3.022167415370599e-07,6.744368598836965e-07,0.0
1622,3.022167415370599e-07,6.744368598836965e-07,0.0
1623,3.022167415370599e-07,3.140123275053546e-07,0.0
1624,4.5154893411693463e-07,3.140123275053546e-07,0.0
1625,4.5154893411693463e-07,7.29335779072114e-07,0.0
1626,6.811707505351348e-07,8.464230956763328e-07,0.0
1627,5.387253492829456e-07,6.449452679849596e-07,0.0
1628,9.973067400486407e-07,6.449452679849596e-07,0.0
1629,9.973067400486407e-07,6.449452679849596e-07,0.0
1630,9.973067400486407e-07,6.449452679849596e-07,0.0
1631,9.046545333798608e-07,6.449452679849596e-07,0.0
1632,9.962806676152728e-07,3.212479506536121e-07,0.0
1633,7.666588511970726e-07,9.162613423541188e-08,0.0
1634,6.068875109122018e-07,9.162613423541188e-08,0.0
1635,3.952652605221374e-07,3.385852746110426e-07,0.0
1636,4.821096695195592e-07,4.2542968360846446e-07,0.0
1637,4.821096695195592e-07,4.985898109615456e-07,0.0
1638,4.2542968360846446e-07,5.659248480632024e-07,0.0
1639,1.501856940779232e-06,4.742987138277905e-07,0.0
1640,1.501856940779232e-06,4.742987138277905e-07,0.0
1641,1.501856940779232e-06,4.742987138277905e-07,0.0
1642,1.470797469340011e-06,2.2733957345215978e-07,0.0
1643,1.3839530603425892e-06,1.4049516445473792e-07,0.0
1644,1.5672759933035455e-06,6.733503710165678e-08,0.0
1645,1.616392824286907e-06,4.9116830983361326e-08,0.0
1646,4.483394328807273e-07,4.9116830983361326e-08,0.0
1647,4.483394328807273e-07,4.9116830983361326e-08,0.0
1648,4.941886686538055e-07,9.496606675643956e-08,0.0
1649,5.912000996691599e-07,1.7319384174438062e-07,0.0
1650,1.3817625829558113e-06,2.610341149582902e-07,0.0
1651,2.187441534065978e-06,4.330344397983156e-07,0.0
1652,2.528024473187023e-06,3.839176088149543e-07,0.0
1653,3.5079095823675743e-06,9.115480647129257e-07,0.0
1654,3.7153255172078e-06,9.115480647129257e-07,0.0
1655,4.947743280224261e-06,9.238018736011457e-07,5.81030446612983e-08
1656,4.7254468427126994e-06,8.908814298333059e-07,5.81030446612983e-08
1657,3.962688791960188e-06,8.030411566193964e-07,5.81030446612983e-08
1658,3.1881494452688585e-06,6.31040831779371e-07,5.81030446612983e-08
1659,2.862784045630308e-06,6.31040831779371e-07,5.81030446612983e-08
1660,1.8828989364497569e-06,1.0341037588139962e-07,5.81030446612983e-08
1661,1.809853819574008e-06,5.065228216543411e-07,5.81030446612983e-08
1662,8.563856986094314e-07,4.890196367211632e-07,0.0
1663,8.97160993369133e-07,4.437123055010618e-07,0.0
1664,1.1444774413251122e-06,4.83015286688117e-07,0.0
1665,9.741065209059992e-07,4.83015286688117e-07,0.0
1666,1.2293593312863647e-06,5.229636842938947e-07,0.0
1667,1.7161440553081775e-06,5.229636842938947e-07,0.0
1668,1.9755521886314194e-06,1.636044544284232e-07,0.0
1669,1.6507533108064569e-06,2.1286686952797546e-07,0.0
1670,1.635310854096263e-06,2.1286686952797546e-07,0.0
1671,1.4775205556816218e-06,2.1267408101266483e-07,0.0
1672,1.531831344436796e-06,2.6187528387059243e-07,0.0
1673,1.335958513339262e-06,2.4666975662057666e-07,0.0
1674,1.2070095424730556e-06,4.0932237612066403e-07,0.0
1675,1.0191415883907342e-06,3.65569160213194e-07,0.0
1676,1.1909276297826312e-06,3.186533957334957e-07,0.0
1677,1.3100835190016369e-06,3.522395936832774e-07,0.0
1678,1.3321829409765736e-06,3.7288511529303445e-07,0.0
1679,1.3029958430316974e-06,3.928992202060856e-07,0.0
1680,1.3240969240411817e-06,3.862582786950952e-07,0.0
1681,3.315725052743801e-06,3.35484892437827e-07,0.0
1682,3.3315854222694597e-06,3.7580695837797453e-07,0.0
1683,3.3363372072666867e-06,3.7699490462728136e-07,0.0
1684,3.1304553971267524e-06,3.7263028624628145e-07,0.0
1685,3.01123122475084e-06,3.7349206901840913e-07,0.0
1686,3.0525327434004012e-06,3.8716438106283544e-07,0.0
1687,3.0313175776492633e-06,5.750629047237712e-07,0.0
1688,8.216284308153783e-07,4.6318367148095216e-07,0.0
1689,6.314282338897621e-07,4.860039451516838e-07,0.0
1690,4.964309892687067e-07,4.834100703224717e-07,0.0
1691,5.406075648092415e-07,5.520527029797709e-07,0.0
1692,6.387419517750459e-07,5.151032504662518e-07,0.0
1693,5.909275131443792e-07,5.576204062305936e-07,0.0
1694,4.673272481373455e-07,3.7600550431956694e-07,0.0
1695,3.895797269543826e-07,4.2252591470059997e-07,0.0
1696,4.2099234016339846e-07,3.751295208433346e-07,0.0
1697,4.308812801160197e-07,3.409360138968103e-07,0.0
1698,9.071604795605838e-07,2.8455688396076896e-07,0.0
1699,7.88820260920277e-07,2.8702792016182297e-07,0.0
1700,8.171028460830192e-07,2.136145553777169e-07,0.0
1701,8.461031240715653e-07,2.3756280143061304e-07,0.0
1702,7.84075910230188e-07,2.509681889608016e-07,0.0
1703,7.873393883528479e-07,2.3522224320718772e-07,0.0
1704,8.13865767668176e-07,2.625222350616241e-07,0.0
1705,3.099774354658231e-07,2.3935276211821996e-07,0.0
1706,3.321282012588459e-07,2.5751521296310133e-07,0.0
1707,2.7760058734267137e-07,2.298287081917546e-07,0.0
1708,2.582461766970872e-07,2.2972424622886528e-07,0.0
1709,2.943212271994915e-07,2.65998577577063e-07,0.0
1710,4.00224195118426e-07,3.348586708235806e-07,0.0
1711,3.222682940824078e-07,3.195962615823841e-07,0.0
1712,3.090695323797783e-07,4.2077826784796865e-07,0.0
1713,3.085547969508947e-07,4.1974879699020154e-07,0.0
1714,4.5395803332277343e-07,4.2415872160615565e-07,0.0
1715,4.556345193204184e-07,3.985740936026819e-07,0.0
1716,4.72689217799273e-07,3.3779379699743526e-07,0.0
1717,4.1516007241528185e-07,2.994993256574422e-07,0.0
1718,6.628962785677166e-07,3.1882344891138406e-07,0.0
1719,6.500606305946479e-07,2.5858967335677464e-07,0.0
1720,9.727474708906162e-07,2.4250099629950584e-07,0.0
1721,8.609673400883366e-07,2.3130628181076774e-07,0.0
1722,2.155607138628771e-06,2.6275468201220065e-07,0.0
1723,2.30008302740511e-06,2.643859054225166e-07,0.0
1724,2.326364013681216e-06,2.6904580100303323e-07,0.0
1725,2.3580400088414014e-06,2.5974883247467264e-07,0.0
1726,2.376610382270883e-06,2.771349646276836e-07,0.0
1727,2.3265242816705722e-06,3.731204693784613e-07,0.0
1728,2.4767488509626545e-06,3.944777111947977e-07,0.0
1729,1.266366349942213e-06,3.84988441380431e-07,0.0
1730,1.371540528387933e-06,3.888535746097789e-07,0.0
1731,1.3490730290348957e-06,4.999295859826296e-07,0.0
1732,1.770615475444564e-06,5.018103926041866e-07,0.0
1733,1.8517115693482213e-06,4.813585771249304e-07,0.0
1734,1.903310809276653e-06,3.9432180999808354e-07,0.0
1735,1.8123442941941903e-06,4.2658063697282547e-07,0.0
1736,2.521564096826166e-06,3.985137746147822e-07,0.0
1737,2.779436182923486e-06,3.922057264357396e-07,0.0
1738,2.748870672673677e-06,2.678714626621773e-07,0.0
1739,2.655328298065537e-06,2.656570927683788e-07,0.0
1740,2.8279110811776524e-06,2.6935716489008753e-07,0.0
1741,2.64843289089965e-06,2.80755849806675e-07,0.0
1742,2.7678118905376844e-06,3.818087098547299e-07,0.0
1743,2.386793767072959e-06,3.8453452231936224e-07,0.0
1744,2.138626086889417e-06,4.258154068078771e-07,0.0
1745,2.4673210288840764e-06,5.237680876949266e-07,0.0
1746,2.5916713671644435e-06,5.345136559396581e-07,0.0
1747,4.820113531422976e-06,5.078886411118739e-07,0.0
1748,4.901257479364826e-06,4.858359566079733e-07,0.0
1749,5.2769052802302345e-06,4.226630799004332e-07,0.0
1750,5.539260070820871e-06,4.132964873195176e-07,0.0
1751,5.7443009414523005e-06,3.659605707996759e-07,0.0
1752,5.807263538112498e-06,3.045194775706607e-07,0.0
1753,6.418338021571149e-06,3.149891826735386e-07,0.0
1754,4.617551829661741e-06,2.9845224349043876e-07,0.0
1755,4.986579304906107e-06,3.076538937258582e-07,0.0
1756,5.166613651194244e-06,2.5631166725556144e-07,0.0
1757,5.3331120527998015e-06,2.738215810284471e-07,0.0
1758,5.135668191412281e-06,2.6702156523989675e-07,0.0
1759,5.028372632815652e-06,2.3289427681610115e-07,0.0
1760,4.116676986346387e-06,2.118757913243436e-07,0.0
1761,4.398997004630344e-06,2.3954859581668385e-07,0.0
1762,4.587242399013901e-06,2.2632948010985793e-07,0.0
1763,4.265417406453967e-06,2.083969811954895e-07,0.0
1764,4.2503653990674394e-06,2.147190290965487e-07,0.0
1765,5.0326148734062115e-06,2.401244704027964e-07,0.0
1766,5.486839524694785e-06,2.6338763754145997e-07,0.0
1767,5.700544046963582e-06,2.547241178620295e-07,0.0
1768,6.074539247232938e-06,2.961458400412604e-07,0.0
1769,6.186688779052929e-06,3.081940401930946e-07,0.0
1770,6.793858444455379e-06,3.2899394852847763e-07,0.0
1771,7.314720083481266e-06,3.4265338147828774e-07,0.0
1772,7.406534483119945e-06,4.562958326102619e-07,0.0
1773,7.454658121527505e-06,4.4501377414819997e-07,0.0
1774,7.3229250899333105e-06,4.537993508587793e-07,0.0
1775,6.900217483364811e-06,4.199649542410303e-07,0.0
1776,6.775305207286562e-06,4.244292719184679e-07,0.0
1777,7.013273716438562e-06,4.193308760542485e-07,0.0
1778,6.681071616705074e-06,4.025358667344595e-07,0.0
1779,5.92241307068824e-06,2.8784522295869207e-07,0.0
1780,5.722037030864158e-06,2.844005138058492e-07,0.0
1781,6.052344003494779e-06,2.7604110641732404e-07,0.0
1782,6.801843840418899e-06,2.477841698172207e-07,0.0
1783,7.3341627739864634e-06,2.5330297554709044e-07,0.0
1784,7.4761788125345315e-06,2.39471822689146e-07,0.0
1785,7.360939662248711e-06,2.3153295712420784e-07,0.0
1786,7.9640292694551e-06,2.2428546588214105e-07,0.0
1787,8.647292166382872e-06,2.1460205143089946e-07,0.0
1788,9.252838546152426e-06,2.236150627205851e-07,0.0
1789,8.711129339644685e-06,2.3012359966807188e-07,0.0
1790,8.175660241249716e-06,2.2309161806788325e-07,0.0
1791,7.659409740361817e-06,2.2709039829546134e-07,0.0
1792,7.57004467491892e-06,2.2511366231421042e-07,0.0
1793,8.656346186139022e-06,2.0991534199765738e-07,0.0
1794,8.849749584831962e-06,2.3661006918830806e-07,0.0
1795,8.923207912760387e-06,2.3669735225796883e-07,0.0
1796,8.924595931603108e-06,2.6807985063572103e-07,0.0
1797,9.630144956775308e-06,2.6053295901614805e-07,0.0
1798,1.1753962683412413e-05,2.519564036772083e-07,0.0
1799,1.188334311206875e-05,2.667248293976497e-07,0.0
1800,1.084566981392397e-05,3.1016151475731543e-07,0.0
1801,1.040039485035647e-05,2.9508777288356214e-07,0.0
1802,1.0092222834958062e-05,3.0358707598614796e-07,0.0
1803,1.0054731644361579e-05,2.760035674295328e-07,0.0
1804,9.95849125372063e-06,2.949876350807504e-07,0.0
1805,7.917568057434568e-06,2.9976168645719425e-07,0.0
1806,8.67970272468353e-06,3.470523170433028e-07,0.0
1807,9.060603653259542e-06,3.192846926529975e-07,0.0
