ngram,Block,Blck,Blok,Blck
1842,7.842084366010178e-07,5.846193767184665e-10,1.3046640783593538e-08,5.846193767184665e-10
1843,7.774379793902751e-07,6.501939066515052e-10,1.3812065967146379e-08,6.501939066515052e-10
1844,7.868480988041224e-07,3.297697036076995e-10,1.713555487979436e-08,3.297697036076995e-10
1845,7.920500674377504e-07,3.965084689155114e-10,1.6923901201084035e-08,3.965084689155114e-10
1846,8.550497097660679e-07,3.2072703223410114e-10,1.8438243376550645e-08,3.2072703223410114e-10
1847,8.627290932443949e-07,3.8133249732500273e-10,1.9060645379503123e-08,3.8133249732500273e-10
1848,9.101297158459991e-07,4.3602017234840266e-10,1.8151501635088607e-08,4.3602017234840266e-10
1849,1.0016118819424134e-06,3.1438929237737057e-10,1.9790277607155205e-08,3.1438929237737057e-10
1850,1.0819811434105629e-06,3.437545803564035e-10,2.038398935358795e-08,3.437545803564035e-10
1851,1.1411529905152357e-06,4.1625751258576674e-10,1.7926321760342034e-08,4.1625751258576674e-10
1852,1.223565310023592e-06,4.506418888843606e-10,1.731158822642393e-08,4.506418888843606e-10
1853,1.2886754510483506e-06,7.401979505518495e-10,1.9258731371556744e-08,7.401979505518495e-10
1854,1.3661998374508194e-06,8.310980713156977e-10,1.926877032535198e-08,8.310980713156977e-10
1855,1.4691439186468154e-06,8.814138942523999e-10,1.930382418992492e-08,8.814138942523999e-10
1856,1.5021027723248283e-06,1.0802091126344798e-09,1.593802613695873e-08,1.0802091126344798e-09
1857,1.558174663581927e-06,1.1296719750118557e-09,1.7762173065705156e-08,1.1296719750118557e-09
1858,1.6532122962027124e-06,1.105593212218687e-09,1.6273000122016664e-08,1.105593212218687e-09
1859,1.6901038861760753e-06,1.918410866671597e-09,1.672790671060552e-08,1.918410866671597e-09
1860,1.7558318339589668e-06,1.9338308494225895e-09,1.3652729772114673e-08,1.9338308494225895e-09
1861,1.76512695101597e-06,1.8952986243928447e-09,1.4016327432031517e-08,1.8952986243928447e-09
1862,1.7245666218254234e-06,1.9017316689660747e-09,1.2565577594309779e-08,1.9017316689660747e-09
1863,1.8213582474605313e-06,1.9893637451648007e-09,1.1542187713534498e-08,1.9893637451648007e-09
1864,2.0348621124607495e-06,2.080436672142432e-09,7.574399203085541e-09,2.080436672142432e-09
1865,2.2683666429657023e-06,2.097909298662667e-09,8.661500374072619e-09,2.097909298662667e-09
1866,2.3929663452041235e-06,1.4051666100530928e-09,7.479723919599581e-09,1.4051666100530928e-09
1867,2.4957883267364067e-06,1.273040395322056e-09,8.204380317979241e-09,1.273040395322056e-09
1868,2.665504634283674e-06,1.2945021324714138e-09,9.547188595249168e-09,1.2945021324714138e-09
1869,2.802224409086713e-06,1.3018232444420415e-09,1.3884013304123397e-08,1.3018232444420415e-09
1870,2.9262014972378632e-06,1.142105330943975e-09,1.553318680030153e-08,1.142105330943975e-09
1871,2.8939960624744084e-06,1.1500860898548483e-09,1.4834740737411169e-08,1.1500860898548483e-09
1872,2.8496727476782065e-06,1.2631166985371018e-09,1.4842976435249154e-08,1.2631166985371018e-09
1873,2.957785129962888e-06,1.1589448527844176e-09,1.516984804439403e-08,1.1589448527844176e-09
1874,3.1810611419911894e-06,1.1053171631937785e-09,1.4695693868154486e-08,1.1053171631937785e-09
1875,3.330618678124405e-06,1.091227156254807e-09,1.279050592423963e-08,1.091227156254807e-09
1876,3.536078663403584e-06,1.0108014861628538e-09,1.0150966797287505e-08,1.0108014861628538e-09
1877,3.6121075481787557e-06,1.09380213220156e-09,8.764371894898204e-09,1.09380213220156e-09
1878,3.7640324665387326e-06,1.0680579317793156e-09,9.827188459813182e-09,1.0680579317793156e-09
1879,3.796426199187408e-06,8.921752979253381e-10,8.829644507609861e-09,8.921752979253381e-10
1880,3.917054560328584e-06,8.738090846132402e-10,8.459337040380075e-09,8.738090846132402e-10
1881,3.977723963544122e-06,1.0702428903426003e-09,8.851300708252147e-09,1.0702428903426003e-09
1882,3.9912794298808355e-06,1.0795361152623632e-09,8.407093243789632e-09,1.0795361152623632e-09
1883,4.002110277464713e-06,1.2981851546126473e-09,7.564035302871325e-09,1.2981851546126473e-09
1884,4.036853494783697e-06,1.3325623858330614e-09,9.75852287865564e-09,1.3325623858330614e-09
1885,4.129971005438295e-06,1.2019200555459163e-09,1.3995695776917013e-08,1.2019200555459163e-09
1886,4.343201973305051e-06,1.4631558266563006e-09,1.5506221005624965e-08,1.4631558266563006e-09
1887,4.378674605374856e-06,1.5302995933933313e-09,1.8168674755157455e-08,1.5302995933933313e-09
1888,4.44746332764875e-06,1.4576692313512346e-09,1.887157484249867e-08,1.4576692313512346e-09
1889,4.795869829519818e-06,1.720594325746053e-09,2.3273149883453115e-08,1.720594325746053e-09
1890,5.027006474327729e-06,1.6659788231494182e-09,2.5297165378341495e-08,1.6659788231494182e-09
1891,5.264350680330868e-06,1.575521879626507e-09,2.8909369501458774e-08,1.575521879626507e-09
1892,5.42159393392337e-06,1.7805826178575656e-09,2.5478252396737844e-08,1.7805826178575656e-09
1893,5.718112528744054e-06,1.6801359510003928e-09,2.6660802200849176e-08,1.6801359510003928e-09
1894,6.057806461155581e-06,1.978259381704309e-09,2.746449480538006e-08,1.978259381704309e-09
1895,6.245713653437893e-06,1.9892882896499486e-09,2.991680084615414e-08,1.9892882896499486e-09
1896,6.367454131707616e-06,2.2556593735702434e-09,3.6857493438243894e-08,2.2556593735702434e-09
1897,6.476533859053493e-06,2.4434056999922404e-09,4.592417582724043e-08,2.4434056999922404e-09
1898,6.602424361647406e-06,2.5242715695483753e-09,4.8446531992445737e-08,2.5242715695483753e-09
1899,6.744799000963602e-06,2.632846940464617e-09,5.1306599603760465e-08,2.632846940464617e-09
1900,6.826898438053572e-06,2.6552186639859444e-09,5.3476084766706274e-08,2.6552186639859444e-09
1901,6.925758888038607e-06,2.636845265944844e-09,5.6467593521704525e-08,2.636845265944844e-09
1902,7.33008814027666e-06,2.8821211924981836e-09,5.689099730992504e-08,2.8821211924981836e-09
1903,7.771760400438715e-06,2.573847880858539e-09,5.0545120343161084e-08,2.573847880858539e-09
1904,8.067881676002539e-06,2.7703243984536894e-09,4.61293403475338e-08,2.7703243984536894e-09
1905,8.335656925087928e-06,2.8712591986541317e-09,5.019314437098339e-08,2.8712591986541317e-09
1906,8.693121019730046e-06,3.401452421312813e-09,4.9332219325443864e-08,3.401452421312813e-09
1907,8.868276706510056e-06,3.6026193457010844e-09,4.8789545863720766e-08,3.6026193457010844e-09
1908,8.956624826948558e-06,3.5276257470684413e-09,5.17624104848632e-08,3.5276257470684413e-09
1909,8.916547942914934e-06,3.4141635867663514e-09,5.5306648403887134e-08,3.4141635867663514e-09
1910,8.686486320844519e-06,3.2150151905798096e-09,5.532880820169339e-08,3.2150151905798096e-09
1911,8.770744248717424e-06,3.1036765062759334e-09,5.752946411316121e-08,3.1036765062759334e-09
1912,8.924098567929053e-06,3.3448098417971598e-09,5.0529001173669844e-08,3.3448098417971598e-09
1913,9.23054189375502e-06,2.942933690392684e-09,5.202231432934111e-08,2.942933690392684e-09
1914,9.206958826065862e-06,2.898040014314469e-09,5.522672554190779e-08,2.898040014314469e-09
1915,9.291557294740674e-06,2.8940703960295925e-09,4.960211441584761e-08,2.8940703960295925e-09
1916,9.205208178692764e-06,3.0651210300039875e-09,4.392830632582445e-08,3.0651210300039875e-09
1917,9.185767989297996e-06,3.2767173419046003e-09,4.9857070345232e-08,3.2767173419046003e-09
1918,9.170786272859135e-06,3.4341981639382115e-09,5.1685416581546765e-08,3.4341981639382115e-09
1919,8.939299602518855e-06,3.3264234858673294e-09,5.791487771895325e-08,3.3264234858673294e-09
1920,8.427648156482195e-06,3.0062153718749383e-09,6.52566163645523e-08,3.0062153718749383e-09
1921,8.10054793224221e-06,2.7094001011006087e-09,6.597263027937775e-08,2.7094001011006087e-09
1922,7.762546894290218e-06,2.7533814910591606e-09,7.61102475012519e-08,2.7533814910591606e-09
1923,7.562395759513103e-06,2.2946763774836907e-09,9.020723013009047e-08,2.2946763774836907e-09
1924,7.488452540980818e-06,2.1025179930411753e-09,8.626319366758903e-08,2.1025179930411753e-09
1925,7.189268931792217e-06,1.699839245551869e-09,8.25835836540786e-08,1.699839245551869e-09
1926,7.040509379813946e-06,1.3685873783459662e-09,7.885427371385439e-08,1.3685873783459662e-09
1927,6.937136017118714e-06,1.4098946375464193e-09,7.739063180776742e-08,1.4098946375464193e-09
1928,6.956014918354672e-06,1.5255430648889297e-09,7.755582690346533e-08,1.5255430648889297e-09
1929,6.968699056285134e-06,1.418400611249585e-09,7.070443684499748e-08,1.418400611249585e-09
1930,6.913602841710339e-06,1.5380059765439974e-09,6.663746684612956e-08,1.5380059765439974e-09
1931,6.684122906465616e-06,1.655618372556741e-09,6.955637386697942e-08,1.655618372556741e-09
1932,6.522161389252038e-06,1.638355831953423e-09,7.01624571775028e-08,1.638355831953423e-09
1933,6.457479100520556e-06,1.6398210091393496e-09,7.118364716721512e-08,1.6398210091393496e-09
1934,6.357036779393509e-06,1.5919097151595452e-09,7.059768490437688e-08,1.5919097151595452e-09
1935,6.354949748908569e-06,1.4527041871024794e-09,7.21224984496465e-08,1.4527041871024794e-09
1936,6.349707161591921e-06,1.4423986846193566e-09,7.17518032290952e-08,1.4423986846193566e-09
1937,6.35454002154542e-06,1.2919067958274054e-09,6.806061999701082e-08,1.2919067958274054e-09
1938,6.430572999046749e-06,1.155609441472194e-09,6.582048024077786e-08,1.155609441472194e-09
1939,6.507472010395889e-06,1.1170784059671185e-09,8.122343585016876e-08,1.1170784059671185e-09
1940,6.504754440226991e-06,1.210214809318647e-09,1.0029689180766712e-07,1.210214809318647e-09
1941,6.569907002683197e-06,1.1458967980842211e-09,1.0349262272565543e-07,1.1458967980842211e-09
1942,6.746297003701329e-06,1.3309959800977822e-09,1.0588114055362244e-07,1.3309959800977822e-09
1943,6.905814318867799e-06,1.1880451860386237e-09,1.1772427198154998e-07,1.1880451860386237e-09
1944,6.974711725758555e-06,1.2345458623639972e-09,1.2290960680973383e-07,1.2345458623639972e-09
1945,6.978964458020138e-06,1.570285044851159e-09,1.294242336159966e-07,1.570285044851159e-09
1946,7.144315467095501e-06,1.6773446282718802e-09,1.3038856191574917e-07,1.6773446282718802e-09
1947,7.16743027494106e-06,1.6770029333455584e-09,1.1809560415291084e-07,1.6770029333455584e-09
1948,7.19921412642829e-06,2.000810089037535e-09,1.2469395471725875e-07,2.000810089037535e-09
1949,7.252067916851956e-06,1.896883190204741e-09,1.5263128411951194e-07,1.896883190204741e-09
1950,7.267947174633653e-06,2.034349514242909e-09,1.5540232567445855e-07,2.034349514242909e-09
1951,7.307567492326987e-06,2.0860125690295004e-09,1.7007379479342229e-07,2.0860125690295004e-09
1952,7.406059077246547e-06,1.7705310709611614e-09,1.7336374266311134e-07,1.7705310709611614e-09
1953,7.390815491297482e-06,1.6931733792802106e-09,1.6760080256972287e-07,1.6931733792802106e-09
1954,7.768777907455973e-06,1.6645990934855653e-09,1.7831953666050788e-07,1.6645990934855653e-09
1955,8.008704168917444e-06,1.579749632694773e-09,2.0286509741903762e-07,1.579749632694773e-09
1956,8.49090877506699e-06,1.6925161272496325e-09,1.9503345478304774e-07,1.6925161272496325e-09
1957,8.84965947989258e-06,1.5705449639215529e-09,2.3084935207862145e-07,1.5705449639215529e-09
1958,9.302624351091384e-06,1.9168317092318634e-09,2.3314394021716517e-07,1.9168317092318634e-09
1959,9.686763340661336e-06,2.060538549310463e-09,2.794577491321044e-07,2.060538549310463e-09
1960,9.964822701087022e-06,2.036572117296893e-09,2.978331394842826e-07,2.036572117296893e-09
1961,1.0223239899330241e-05,2.0021822771149847e-09,3.044558586192839e-07,2.0021822771149847e-09
1962,1.020277626854035e-05,1.798761584126396e-09,3.0811631493829085e-07,1.798761584126396e-09
1963,9.806453817873262e-06,1.8031453155994574e-09,3.0701368254020575e-07,1.8031453155994574e-09
1964,9.544320684134228e-06,1.7543899190540303e-09,2.8712156360402983e-07,1.7543899190540303e-09
1965,9.166249193575432e-06,1.4718043133450059e-09,2.963453218691419e-07,1.4718043133450059e-09
1966,8.836302185954992e-06,1.38419388649526e-09,2.6515863282838836e-07,1.38419388649526e-09
1967,8.620001218722401e-06,1.5137640188963734e-09,2.62499879357035e-07,1.5137640188963734e-09
1968,8.341751968795766e-06,1.4157828163798213e-09,2.6783516407899046e-07,1.4157828163798213e-09
1969,8.439827849672707e-06,1.3770062471226856e-09,2.6659643229517573e-07,1.3770062471226856e-09
1970,8.482686358287797e-06,1.2476455662253321e-09,2.972600542859384e-07,1.2476455662253321e-09
1971,8.742452337173745e-06,1.327652345205012e-09,2.9655082300905633e-07,1.327652345205012e-09
1972,8.940947476990654e-06,1.1941101203077104e-09,3.351235408542509e-07,1.1941101203077104e-09
1973,9.227106992122052e-06,1.2296213650461345e-09,3.463322570951277e-07,1.2296213650461345e-09
1974,1.0426487019036098e-05,1.3274327430907412e-09,3.7599758278312425e-07,1.3274327430907412e-09
1975,1.050836752775857e-05,1.4349894130104092e-09,3.7799831277750074e-07,1.4349894130104092e-09
1976,1.0469928773610654e-05,1.5735747942764127e-09,4.1845949080457754e-07,1.5735747942764127e-09
1977,1.0680175364541356e-05,1.6324367254786205e-09,4.5918315955922093e-07,1.6324367254786205e-09
1978,1.0847209913273609e-05,1.802713692608141e-09,4.5907475509920914e-07,1.802713692608141e-09
1979,1.1331152563798241e-05,2.21910896008077e-09,4.5620214044512455e-07,2.21910896008077e-09
1980,1.1803066887036298e-05,2.4016770159919686e-09,4.892419635130604e-07,2.4016770159919686e-09
1981,1.1218323119724768e-05,2.4520897693288848e-09,4.786464436230225e-07,2.4520897693288848e-09
1982,1.1519235808269254e-05,2.540494576613079e-09,4.838032298591446e-07,2.540494576613079e-09
1983,1.1828464656511123e-05,2.726211256742772e-09,4.379742831263554e-07,2.726211256742772e-09
1984,1.1895400738077505e-05,2.700613589899449e-09,3.8021400022054355e-07,2.700613589899449e-09
1985,1.183551116160483e-05,2.4780983138532927e-09,3.820396849667824e-07,2.4780983138532927e-09
1986,1.1722048709218922e-05,2.463469095381754e-09,3.5257561746350673e-07,2.463469095381754e-09
1987,1.148130780036029e-05,2.250831299122069e-09,3.2761115725017067e-07,2.250831299122069e-09
1988,1.149546590438279e-05,1.973260047424422e-09,3.116905499414965e-07,1.973260047424422e-09
1989,1.1614327247246234e-05,2.251911181337464e-09,3.0962550973916745e-07,2.251911181337464e-09
1990,1.3396868390762912e-05,2.0592543067568923e-09,3.152620625509631e-07,2.0592543067568923e-09
1991,1.355870881525334e-05,2.2097408347576675e-09,3.221313176839301e-07,2.2097408347576675e-09
1992,1.3645544770822329e-05,2.45316243509462e-09,3.335289022743382e-07,2.45316243509462e-09
1993,1.3588237249807986e-05,2.303579898261481e-09,3.3534419279541386e-07,2.303579898261481e-09
1994,1.3566998209820927e-05,2.5572532821474934e-09,3.2535423802723275e-07,2.5572532821474934e-09
1995,1.3370794087157784e-05,2.741103122261279e-09,3.5764293215834186e-07,2.741103122261279e-09
1996,1.3136254762814912e-05,2.3342830367058453e-09,3.514983372302335e-07,2.3342830367058453e-09
1997,1.1441303156191549e-05,2.631731959341315e-09,3.533766224401396e-07,2.631731959341315e-09
1998,1.1347670676644026e-05,2.6772417774775394e-09,3.4815237118631816e-07,2.6772417774775394e-09
1999,1.1165819030013933e-05,2.831463079872825e-09,3.390898695800258e-07,2.831463079872825e-09
2000,1.0949804163828958e-05,2.779598123099041e-09,3.297404305158125e-07,2.779598123099041e-09
2001,1.0854386865893112e-05,2.449056005612452e-09,3.2853904891843353e-07,2.449056005612452e-09
2002,1.061531708858508e-05,2.278257455705963e-09,3.0152706033602173e-07,2.278257455705963e-09
2003,1.0259005518621831e-05,2.2169846593454524e-09,3.1394953176849025e-07,2.2169846593454524e-09
2004,9.925532270114803e-06,1.7137958116134451e-09,3.1122340260480996e-07,1.7137958116134451e-09
2005,9.531926350194095e-06,1.4508988772326298e-09,3.1313573702261367e-07,1.4508988772326298e-09
2006,9.14291799095476e-06,9.44600473237348e-10,3.140627029551979e-07,9.44600473237348e-10
2007,8.81875640906011e-06,6.808349836287927e-10,3.077782062226626e-07,6.808349836287927e-10
2008,9.709083380065359e-06,5.553888380939651e-10,2.944794873980884e-07,5.553888380939651e-10
2009,1.0015724715880684e-05,4.077563683527582e-10,2.785355783479255e-07,4.077563683527582e-10
2010,9.710689807564319e-06,3.7541716560848416e-10,2.72475923728572e-07,3.7541716560848416e-10
2011,9.170363487750624e-06,4.959121050315421e-10,2.5664931513347256e-07,4.959121050315421e-10
2012,8.754420897665633e-06,4.3043570295355135e-10,2.3873718443415524e-07,4.3043570295355135e-10
2013,8.447182543542503e-06,4.693240201231979e-10,2.395711788949484e-07,4.693240201231979e-10
2014,8.047239199575934e-06,4.838828028739885e-10,2.405294594609586e-07,4.838828028739885e-10
2015,6.310760194797435e-06,5.607497521875615e-10,2.514813165329802e-07,5.607497521875615e-10
2016,5.422603862825781e-06,5.651821669402527e-10,2.591572691049545e-07,5.651821669402527e-10
2017,5.260611942503601e-06,6.068408599698335e-10,2.5024645111670907e-07,6.068408599698335e-10
2018,5.1814499784086365e-06,4.747341464383936e-10,2.565420771816207e-07,4.747341464383936e-10
2019,5.072558110441605e-06,4.906254222336592e-10,2.6616032045012616e-07,4.906254222336592e-10
